,AAPL,AMZN,GOOGL,MSFT
AAPL,1.0,0.5462905550708321,0.5721046172346756,0.5988614305665495
AMZN,0.5462905550708321,1.0,0.6184374011160506,0.634683866234772
GOOGL,0.5721046172346756,0.6184374011160506,1.0,0.6078952770833833
MSFT,0.5988614305665495,0.634683866234772,0.6078952770833833,1.0
